Issue Number,Title,State,Created At,Updated At,URL
28,Create stratified metrics for mean difference and normalized mean difference,open,2017-09-30T18:58:14Z,2017-09-30T19:00:58Z,https://github.com/cosmicBboy/themis-ml/issues/28
14,"Implement ""Discrimination-aware Ensemble Classification"" postprocessing",open,2017-08-30T04:37:23Z,2017-08-30T04:37:23Z,https://github.com/cosmicBboy/themis-ml/issues/14
13,"Implement ""Prejudice Remover Regularized"" Estimator",open,2017-08-30T04:34:11Z,2017-08-30T04:34:11Z,https://github.com/cosmicBboy/themis-ml/issues/13
12,"Implement ""Sampling"" fairness-aware preprocessing",open,2017-08-30T04:22:13Z,2017-08-30T04:22:13Z,https://github.com/cosmicBboy/themis-ml/issues/12
11,"Implement ""Reweighting"" fairness-aware preprocessing",open,2017-08-30T04:06:31Z,2017-08-30T04:16:37Z,https://github.com/cosmicBboy/themis-ml/issues/11
6,"Implement ""situation test score"" scoring function",open,2017-08-29T01:14:09Z,2017-08-29T01:14:09Z,https://github.com/cosmicBboy/themis-ml/issues/6
5,"Implement the ""consistency"" scoring function",open,2017-08-29T01:13:43Z,2017-08-29T01:13:43Z,https://github.com/cosmicBboy/themis-ml/issues/5
2,Build benchmark classifiers using the german credit data,open,2017-08-29T01:10:00Z,2017-08-29T01:12:06Z,https://github.com/cosmicBboy/themis-ml/issues/2
Issue Number,Title,State,Created At,Updated At,URL
14,Bump tensorflow from 1.13.1 to 2.11.1,open,2023-03-24T22:55:13Z,2023-03-24T22:55:15Z,https://github.com/INSPIRED-GMU/fairkit-learn/pull/14
12,Bump numpy from 1.15.4 to 1.22.0,open,2022-06-22T01:38:40Z,2022-06-22T01:38:41Z,https://github.com/INSPIRED-GMU/fairkit-learn/pull/12
7,fair_metrics,open,2021-06-18T11:07:48Z,2021-06-18T11:07:48Z,https://github.com/INSPIRED-GMU/fairkit-learn/issues/7
Issue Number,Title,State,Created At,Updated At,URL
4,Enable passing Laplace smoothing parameter from higher level APIs,open,2020-09-15T01:28:11Z,2020-09-15T01:28:11Z,https://github.com/linkedin/LiFT/issues/4
Issue Number,Title,State,Created At,Updated At,URL
31,Understanding statistical tests used in Audit-AI,open,2021-04-14T13:39:25Z,2022-04-13T07:27:48Z,https://github.com/pymetrics/audit-ai/issues/31
30,"Implementation suggestions: How to use the ""debias set"" for different roles?",open,2020-08-04T16:08:49Z,2020-08-24T15:13:33Z,https://github.com/pymetrics/audit-ai/issues/30
Issue Number,Title,State,Created At,Updated At,URL
147,E.5: systematic effects (consider adding),open,2022-06-06T17:23:20Z,2023-05-10T18:56:41Z,https://github.com/drivendataorg/deon/issues/147
145,Add LGBTQ+ data use examples,open,2022-05-23T17:47:44Z,2022-08-10T14:45:05Z,https://github.com/drivendataorg/deon/issues/145
123,Create examples_of_ethical_issues_RO.yml,open,2021-03-02T10:50:56Z,2022-01-28T18:22:10Z,https://github.com/drivendataorg/deon/pull/123
122,Create checklist_RO.yml,open,2021-03-02T10:50:21Z,2022-01-28T18:22:10Z,https://github.com/drivendataorg/deon/pull/122
114,Example of Bias in Adversarial Faces,open,2020-06-21T16:50:20Z,2020-06-24T16:36:33Z,https://github.com/drivendataorg/deon/issues/114
109,Add commandline argument for different translations,open,2020-06-10T22:53:07Z,2021-03-04T06:28:09Z,https://github.com/drivendataorg/deon/issues/109
95,Establish consistent capitalization,open,2020-01-14T06:07:17Z,2020-01-16T02:29:03Z,https://github.com/drivendataorg/deon/issues/95
89,Document contribution instructions,open,2020-01-03T20:19:25Z,2022-03-07T18:23:54Z,https://github.com/drivendataorg/deon/issues/89
82,UPDATE/SPLIT E.4. into Unintended use and Aversarial use,open,2018-11-07T22:30:02Z,2018-11-07T22:30:02Z,https://github.com/drivendataorg/deon/issues/82
65,Custom checklist parameter should accept urls,open,2018-08-31T22:31:12Z,2018-08-31T22:31:12Z,https://github.com/drivendataorg/deon/issues/65
61,Find a better name for table of ethical issues,open,2018-08-27T22:09:26Z,2018-08-27T22:09:50Z,https://github.com/drivendataorg/deon/issues/61
37,Add option to exclude ids from rendering,open,2018-08-22T19:17:52Z,2018-08-27T22:02:31Z,https://github.com/drivendataorg/deon/issues/37
